USA,107
GBR,483
FRA,51
NZL,2
NLD,5
ITA,14
ESP,16
ARG,4
GIB,1
BEL,12
BRA,2
JPN,33
PAK,1
DEU,22
TUR,1
LKA,1
AUS,23
CAN,3
CHL,4
IDN,1
GRC,3
BMU,1
IRL,10
ZAF,10
CHE,1
BGR,1
ROU,1
CHN,2
IND,3
AUT,2
POL,1
NGA,2
SGP,2
FIN,1
KEN,1
ARE,1
